,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric,Y_Very_Low_E,Y_Low_E,Y_Medium_E,Y_High_E,Y_Very_High_E
4,62.3,2.134644031725976,0.9658067238945449,2004.0,0,1,0,0,0,0,0,0,0,0,6.312123083994303,0,1,0,0,0
5,64.65,2.049336317259823,0.9630333408870252,2004.0,0,1,0,0,0,0,0,0,0,0,6.53337899174767,0,1,0,0,0
6,73.85,2.2695306578616212,0.9594709782308145,2004.0,0,1,0,0,0,0,0,0,0,0,6.706955152619105,0,1,0,0,0
7,74.65,2.2601906306309814,0.9537807613705584,2004.0,0,1,0,0,0,0,0,0,0,0,6.880890757027875,0,1,0,0,0
8,69.2,2.265852222479691,0.9506726597242001,2004.0,0,1,0,0,0,0,0,0,0,0,6.069423300818362,0,1,0,0,0
9,54.0,2.06385814041979,0.9522506190215821,2004.0,0,1,0,0,0,0,0,0,0,0,5.649863270207907,0,1,0,0,0
10,48.55,1.9633249021119097,0.9567215036974975,2004.0,0,1,0,0,0,0,0,0,0,0,5.611027587727565,0,1,0,0,0
11,45.25,1.8726754597433017,0.9607620358377634,2004.0,0,1,0,0,0,0,0,0,0,0,5.305304202083189,0,1,0,0,0
0,26.2,1.7593292427972063,0.9562911511618478,1905.0,0,0,0,1,0,0,0,0,0,0,10.824414255679669,0,0,1,0,0
1,19.1,1.833637703956903,0.9570084053879304,1905.0,0,0,0,1,0,0,0,0,0,0,6.043363177072923,0,1,0,0,0
2,33.3,1.86985132110435,0.9600208731374779,1905.0,0,0,0,1,0,0,0,0,0,0,5.188056295529439,0,1,0,0,0
3,48.05,1.9359588089002986,0.9641809476487574,1905.0,0,0,0,1,0,0,0,0,0,0,5.181494986937921,0,1,0,0,0
4,62.3,1.9616493132727573,0.9658067238945449,1905.0,0,0,0,1,0,0,0,0,0,0,6.122473034626852,0,1,0,0,0
5,64.65,1.8832550625160678,0.9630333408870252,1905.0,0,0,0,1,0,0,0,0,0,0,6.337081227614537,0,1,0,0,0
6,73.85,2.0856045271613817,0.9594709782308145,1905.0,0,0,0,1,0,0,0,0,0,0,6.505442229174242,0,1,0,0,0
7,74.65,2.07702142959072,0.9537807613705584,1905.0,0,0,0,1,0,0,0,0,0,0,6.674151874658586,0,1,0,0,0
8,69.2,2.0822241976386895,0.9506726597242001,1905.0,0,0,0,1,0,0,0,0,0,0,5.887065255305762,0,1,0,0,0
9,54.0,1.8966000155882599,0.9522506190215821,1905.0,0,0,0,1,0,0,0,0,0,0,5.4801110594452105,0,1,0,0,0
10,48.55,1.8042141400246021,0.9567215036974975,1905.0,0,0,0,1,0,0,0,0,0,0,5.442442209265446,0,1,0,0,0
11,45.25,1.7209110629175686,0.9607620358377634,1905.0,0,0,0,1,0,0,0,0,0,0,5.145904394689425,0,1,0,0,0
0,26.2,3.569112133256573,2.053947081191099,1983.0,0,0,0,1,0,0,0,0,0,0,24.770220899953948,0,0,0,0,1
1,19.1,3.719860056884004,2.055487618528859,1983.0,0,0,0,1,0,0,0,0,0,0,13.829426455680709,0,0,1,0,0
2,33.3,3.793325817132814,2.0619578753474523,1983.0,0,0,0,1,0,0,0,0,0,0,11.872171319961353,0,0,1,0,0
3,48.05,3.9274366083662366,2.070892991906461,1983.0,0,0,0,1,0,0,0,0,0,0,11.857156644860629,0,0,1,0,0
4,62.3,3.979554363607683,2.074384876538718,1983.0,0,0,0,1,0,0,0,0,0,0,14.010458759202029,0,0,1,0,0
5,64.65,3.8205176894326995,2.068428132166045,1983.0,0,0,0,1,0,0,0,0,0,0,14.501560838416673,0,0,1,0,0
6,73.85,4.231019551082713,2.0607767967218362,1983.0,0,0,0,1,0,0,0,0,0,0,14.88683241996051,0,0,0,1,0
7,74.65,4.2136072118029615,2.0485552005089387,1983.0,0,0,0,1,0,0,0,0,0,0,15.272901826386578,0,0,0,1,0
8,69.2,4.224161951708838,2.0418795387119775,1983.0,0,0,0,1,0,0,0,0,0,0,13.471759615062071,0,0,1,0,0
